Depth,Velocity,Power
50,0.5,53.7465386589139
60,0.5,48.7331559349941
70,0.5,44.7635498830786
80,0.5,41.5289515607499
90,0.5,38.8495530918211
100,0.5,36.5480258844369
110,0.5,34.460731148617
120,0.5,32.5827038284533
130,0.5,30.8635396832429
140,0.5,29.3047779281846
150,0.5,27.8611895886883
160,0.5,26.5446727158747
170,0.5,25.3240477046349
180,0.5,24.1857204412456
190,0.5,23.1407681789268
200,0.5,22.1639370718521
50,0.75,53.74653866
60,0.75,53.74653866
70,0.75,53.74653866
80,0.75,53.74653866
90,0.75,53.74653866
100,0.75,53.74653866
110,0.75,53.74653866
120,0.75,53.74653866
130,0.75,53.74653866
140,0.75,53.74653866
150,0.75,53.74653866
160,0.75,53.74653866
170,0.75,53.74653866
180,0.75,53.74653866
190,0.75,53.74653866
200,0.75,53.74653866
50,1,53.74653866
60,1,53.74653866
70,1,53.74653866
80,1,53.74653866
90,1,53.74653866
100,1,53.74653866
110,1,53.74653866
120,1,53.74653866
130,1,53.74653866
140,1,53.74653866
150,1,53.74653866
160,1,53.74653866
170,1,53.74653866
180,1,53.74653866
190,1,53.74653866
200,1,53.74653866
50,1.25,53.74653866
60,1.25,53.74653866
70,1.25,53.74653866
80,1.25,53.74653866
90,1.25,53.74653866
100,1.25,53.74653866
110,1.25,53.74653866
120,1.25,53.74653866
130,1.25,53.74653866
140,1.25,53.74653866
150,1.25,53.74653866
160,1.25,53.74653866
170,1.25,53.74653866
180,1.25,53.74653866
190,1.25,53.74653866
200,1.25,53.74653866
50,1.5,53.74653866
60,1.5,53.74653866
70,1.5,53.74653866
80,1.5,53.74653866
90,1.5,53.74653866
100,1.5,53.74653866
110,1.5,53.74653866
120,1.5,53.74653866
130,1.5,53.74653866
140,1.5,53.74653866
150,1.5,53.74653866
160,1.5,53.74653866
170,1.5,53.74653866
180,1.5,53.74653866
190,1.5,53.74653866
200,1.5,53.74653866
50,1.75,53.74653866
60,1.75,53.74653866
70,1.75,53.74653866
80,1.75,53.74653866
90,1.75,53.74653866
100,1.75,53.74653866
110,1.75,53.74653866
120,1.75,53.74653866
130,1.75,53.74653866
140,1.75,53.74653866
150,1.75,53.74653866
160,1.75,53.74653866
170,1.75,53.74653866
180,1.75,53.74653866
190,1.75,53.74653866
200,1.75,53.74653866
50,2,53.74653866
60,2,53.74653866
70,2,53.74653866
80,2,53.74653866
90,2,53.74653866
100,2,53.74653866
110,2,53.74653866
120,2,53.74653866
130,2,53.74653866
140,2,53.74653866
150,2,53.74653866
160,2,53.74653866
170,2,53.74653866
180,2,53.74653866
190,2,53.74653866
200,2,53.74653866
50,2.25,53.74653866
60,2.25,53.74653866
70,2.25,53.74653866
80,2.25,53.74653866
90,2.25,53.74653866
100,2.25,53.74653866
110,2.25,53.74653866
120,2.25,53.74653866
130,2.25,53.74653866
140,2.25,53.74653866
150,2.25,53.74653866
160,2.25,53.74653866
170,2.25,53.74653866
180,2.25,53.74653866
190,2.25,53.74653866
200,2.25,53.74653866
50,2.5,53.74653866
60,2.5,53.74653866
70,2.5,53.74653866
80,2.5,53.74653866
90,2.5,53.74653866
100,2.5,53.74653866
110,2.5,53.74653866
120,2.5,53.74653866
130,2.5,53.74653866
140,2.5,53.74653866
150,2.5,53.74653866
160,2.5,53.74653866
170,2.5,53.74653866
180,2.5,53.74653866
190,2.5,53.74653866
200,2.5,53.74653866
50,2.75,53.74653866
60,2.75,53.74653866
70,2.75,53.74653866
80,2.75,53.74653866
90,2.75,53.74653866
100,2.75,53.74653866
110,2.75,53.74653866
120,2.75,53.74653866
130,2.75,53.74653866
140,2.75,53.74653866
150,2.75,53.74653866
160,2.75,53.74653866
170,2.75,53.74653866
180,2.75,53.74653866
190,2.75,53.74653866
200,2.75,53.74653866
