,Power
0,53.7465386589139
1,48.7331559349941
2,44.7635498830786
3,41.5289515607499
4,38.8495530918211
5,36.5480258844369
6,34.460731148617
7,32.5827038284533
8,30.8635396832429
9,29.3047779281846
10,27.8611895886883
11,26.5446727158747
12,25.3240477046349
13,24.1857204412456
14,23.1407681789268
15,22.1639370718521
16,53.74653866
17,53.74653866
18,53.74653866
19,53.74653866
20,53.74653866
21,53.74653866
22,53.74653866
23,53.74653866
24,53.74653866
25,53.74653866
26,53.74653866
27,53.74653866
28,53.74653866
29,53.74653866
30,53.74653866
31,53.74653866
32,53.74653866
33,53.74653866
34,53.74653866
35,53.74653866
36,53.74653866
37,53.74653866
38,53.74653866
39,53.74653866
40,53.74653866
41,53.74653866
42,53.74653866
43,53.74653866
44,53.74653866
45,53.74653866
46,53.74653866
47,53.74653866
48,53.74653866
49,53.74653866
50,53.74653866
51,53.74653866
52,53.74653866
53,53.74653866
54,53.74653866
55,53.74653866
56,53.74653866
57,53.74653866
58,53.74653866
59,53.74653866
60,53.74653866
61,53.74653866
62,53.74653866
63,53.74653866
64,53.74653866
65,53.74653866
66,53.74653866
67,53.74653866
68,53.74653866
69,53.74653866
70,53.74653866
71,53.74653866
72,53.74653866
73,53.74653866
74,53.74653866
75,53.74653866
76,53.74653866
77,53.74653866
78,53.74653866
79,53.74653866
80,53.74653866
81,53.74653866
82,53.74653866
83,53.74653866
84,53.74653866
85,53.74653866
86,53.74653866
87,53.74653866
88,53.74653866
89,53.74653866
90,53.74653866
91,53.74653866
92,53.74653866
93,53.74653866
94,53.74653866
95,53.74653866
96,53.74653866
97,53.74653866
98,53.74653866
99,53.74653866
100,53.74653866
101,53.74653866
102,53.74653866
103,53.74653866
104,53.74653866
105,53.74653866
106,53.74653866
107,53.74653866
108,53.74653866
109,53.74653866
110,53.74653866
111,53.74653866
112,53.74653866
113,53.74653866
114,53.74653866
115,53.74653866
116,53.74653866
117,53.74653866
118,53.74653866
119,53.74653866
120,53.74653866
121,53.74653866
122,53.74653866
123,53.74653866
124,53.74653866
125,53.74653866
126,53.74653866
127,53.74653866
128,53.74653866
129,53.74653866
130,53.74653866
131,53.74653866
132,53.74653866
133,53.74653866
134,53.74653866
135,53.74653866
136,53.74653866
137,53.74653866
138,53.74653866
139,53.74653866
140,53.74653866
141,53.74653866
142,53.74653866
143,53.74653866
144,53.74653866
145,53.74653866
146,53.74653866
147,53.74653866
148,53.74653866
149,53.74653866
150,53.74653866
151,53.74653866
152,53.74653866
153,53.74653866
154,53.74653866
155,53.74653866
156,53.74653866
157,53.74653866
158,53.74653866
159,53.74653866
