Depth,Velocity,Power
50,0.5,25.267770167091
60,0.5,22.9578094645052
70,0.5,21.1275258990783
80,0.5,19.6251060158318
90,0.5,18.3753213649782
100,0.5,17.3130658955083
110,0.5,16.3708405934554
120,0.5,15.5112812085593
130,0.5,14.7305328948113
140,0.5,14.0100075706743
150,0.5,13.3539788569222
160,0.5,12.7429725584803
170,0.5,12.1794370113608
180,0.5,11.6576146324459
190,0.5,11.1686235637732
200,0.5,10.7131002082505
50,0.75,85.2787243139323
60,0.75,77.482606942705
70,0.75,71.3053999093894
80,0.75,66.2347328034323
90,0.75,62.0167096068014
100,0.75,58.4315973973404
110,0.75,55.2515870029121
120,0.75,52.3505740788877
130,0.75,49.7155485199883
140,0.75,47.2837755510257
150,0.75,45.0696786421125
160,0.75,43.0075323848709
170,0.75,41.1055999133428
180,0.75,39.3444493845048
190,0.75,37.6941045277347
200,0.75,36.1567132028453
50,1,202.142161336728
60,1,183.662475716042
70,1,169.020207192627
80,1,157.000848126654
90,1,147.002570919826
100,1,138.504527164066
110,1,130.966724747644
120,1,124.090249668474
130,1,117.844263158491
140,1,112.080060565394
150,1,106.831830855378
160,1,101.943780467842
170,1,97.4354960908867
180,1,93.2609170595669
190,1,89.3489885101859
200,1,85.7048016660037
50,1.25,394.808908860798
60,1.25,358.715772882894
70,1.25,330.117592173099
80,1.25,306.642281497372
90,1.25,287.114396327784
100,1.25,270.516654617317
110,1.25,255.794384272741
120,1.25,242.363768883739
130,1.25,230.164576481427
140,1.25,218.906368291786
150,1.25,208.65591963941
160,1.25,199.108946226254
170,1.25,190.303703302513
180,1.25,182.150228631967
190,1.25,174.509743183957
200,1.25,167.392190753913
50,1.5,682.229794511458
60,1.5,619.86085554164
70,1.5,570.443199275115
80,1.5,529.877862427458
90,1.5,496.133676854411
100,1.5,467.452779178723
110,1.5,442.012696023297
120,1.5,418.804592631101
130,1.5,397.724388159906
140,1.5,378.270204408206
150,1.5,360.5574291369
160,1.5,344.060259078967
170,1.5,328.844799306743
180,1.5,314.755595076038
190,1.5,301.552836221877
200,1.5,289.253705622762
50,1.75,1083.35564591403
60,1.75,984.31608079066
70,1.75,905.842672922984
80,1.75,841.426420428788
90,1.75,787.84190352344
100,1.75,742.297700269917
110,1.75,701.899790444402
120,1.75,665.04618181698
130,1.75,631.571597865036
140,1.75,600.67907459266
150,1.75,572.55184349054
160,1.75,546.354948444841
170,1.75,522.193361862096
180,1.75,499.820227366117
190,1.75,478.854735296778
200,1.75,459.324171428738
50,2,1617.13729069383
60,2,1469.29980572833
70,2,1352.16165754101
80,2,1256.00678501323
90,2,1176.0205673586
100,2,1108.03621731253
110,2,1047.73379798115
120,2,992.721997347796
130,2,942.754105267926
140,2,896.640484523154
150,2,854.654646843022
160,2,815.550243742736
170,2,779.483968727094
180,2,746.087336476535
190,2,714.791908081487
200,2,685.638413328029
50,2.25,1872.038556
60,2.25,1872.038556
70,2.25,1872.038556
80,2.25,1788.33778569267
90,2.25,1674.45115938364
100,2.25,1577.65312972819
110,2.25,1491.79284907863
120,2.25,1413.46550012997
130,2.25,1342.31981003968
140,2.25,1276.66193987769
150,2.25,1216.88132333704
160,2.25,1161.20337439151
170,2.25,1109.85119766026
180,2.25,1062.30013338163
190,2.25,1017.74082224884
200,2.25,976.231256476823
50,2.5,1872.038556
60,2.5,1872.038556
70,2.5,1872.038556
80,2.5,1872.038556
90,2.5,1872.038556
100,2.5,1872.038556
110,2.5,1872.038556
120,2.5,1872.038556
130,2.5,1841.31661185142
140,2.5,1751.25094633429
150,2.5,1669.24735711528
160,2.5,1592.87156981003
170,2.5,1522.4296264201
180,2.5,1457.20182905573
190,2.5,1396.07794547165
200,2.5,1339.13752603131
50,2.75,1872.038556
60,2.75,1872.038556
70,2.75,1872.038556
80,2.75,1872.038556
90,2.75,1872.038556
100,2.75,1872.038556
110,2.75,1872.038556
120,2.75,1872.038556
130,2.75,1872.038556
140,2.75,1872.038556
150,2.75,1872.038556
160,2.75,1872.038556
170,2.75,1872.038556
180,2.75,1872.038556
190,2.75,1858.17974542277
200,2.75,1782.39204714767
