Depth,Velocity,Power
50,0.5,53.0218332671534
60,0.5,48.2948627135933
70,0.5,44.5154561002227
80,0.5,41.3895962235628
90,0.5,38.759237751618
100,0.5,36.5130052278752
110,0.5,34.5787940088851
120,0.5,32.884741365012
130,0.5,31.386817505891
140,0.5,30.0523777764495
150,0.5,28.8608515302547
160,0.5,27.783713285075
170,0.5,26.8040488149027
180,0.5,25.9081645974924
190,0.5,25.0783084711398
200,0.5,24.2917080924675
50,0.75,178.948687276643
60,0.75,162.995161658377
70,0.75,150.239664338252
80,0.75,139.689887254525
90,0.75,130.812427411711
100,0.75,123.231392644079
110,0.75,116.703429779987
120,0.75,110.986002106916
130,0.75,105.930509082382
140,0.75,101.426774995517
150,0.75,97.4053739146096
160,0.75,93.7700323371282
170,0.75,90.4636647502967
180,0.75,87.440055516537
190,0.75,84.6392910900969
200,0.75,81.9845148120779
50,1,424.174666137227
60,1,386.358901708746
70,1,356.123648801782
80,1,331.116769788503
90,1,310.073902012944
100,1,292.104041823002
110,1,276.63035207108
120,1,263.077930920096
130,1,251.094540047128
140,1,240.419022211596
150,1,230.886812242037
160,1,222.2697062806
170,1,214.432390519222
180,1,207.265316779939
190,1,200.626467769119
200,1,194.33366473974
50,1.25,828.466144799272
60,1.25,754.607229899895
70,1.25,695.55400156598
80,1.25,646.712440993169
90,1.25,605.613089869031
100,1.25,570.51570668555
110,1.25,540.293656388829
120,1.25,513.824083828313
130,1.25,490.419023529548
140,1.25,469.568402757024
150,1.25,450.950805160229
160,1.25,434.120520079297
170,1.25,418.813262732855
180,1.25,404.815071835819
190,1.25,391.84856986156
200,1.25,379.557938944805
50,1.5,931.9117415
60,1.5,931.9117415
70,1.5,931.9117415
80,1.5,931.9117415
90,1.5,931.9117415
100,1.5,931.9117415
110,1.5,931.9117415
120,1.5,887.888016855325
130,1.5,847.444072659058
140,1.5,811.414199964137
150,1.5,779.242991316876
160,1.5,750.160258697025
170,1.5,723.709318002373
180,1.5,699.520444132296
190,1.5,677.114328720776
200,1.5,655.876118496623
50,1.75,931.9117415
60,1.75,931.9117415
70,1.75,931.9117415
80,1.75,931.9117415
90,1.75,931.9117415
100,1.75,931.9117415
110,1.75,931.9117415
120,1.75,931.9117415
130,1.75,931.9117415
140,1.75,931.9117415
150,1.75,931.9117415
160,1.75,931.9117415
170,1.75,931.9117415
180,1.75,931.9117415
190,1.75,931.9117415
200,1.75,931.9117415
50,2,931.9117415
60,2,931.9117415
70,2,931.9117415
80,2,931.9117415
90,2,931.9117415
100,2,931.9117415
110,2,931.9117415
120,2,931.9117415
130,2,931.9117415
140,2,931.9117415
150,2,931.9117415
160,2,931.9117415
170,2,931.9117415
180,2,931.9117415
190,2,931.9117415
200,2,931.9117415
50,2.25,931.9117415
60,2.25,931.9117415
70,2.25,931.9117415
80,2.25,931.9117415
90,2.25,931.9117415
100,2.25,931.9117415
110,2.25,931.9117415
120,2.25,931.9117415
130,2.25,931.9117415
140,2.25,931.9117415
150,2.25,931.9117415
160,2.25,931.9117415
170,2.25,931.9117415
180,2.25,931.9117415
190,2.25,931.9117415
200,2.25,931.9117415
50,2.5,931.9117415
60,2.5,931.9117415
70,2.5,931.9117415
80,2.5,931.9117415
90,2.5,931.9117415
100,2.5,931.9117415
110,2.5,931.9117415
120,2.5,931.9117415
130,2.5,931.9117415
140,2.5,931.9117415
150,2.5,931.9117415
160,2.5,931.9117415
170,2.5,931.9117415
180,2.5,931.9117415
190,2.5,931.9117415
200,2.5,931.9117415
50,2.75,931.9117415
60,2.75,931.9117415
70,2.75,931.9117415
80,2.75,931.9117415
90,2.75,931.9117415
100,2.75,931.9117415
110,2.75,931.9117415
120,2.75,931.9117415
130,2.75,931.9117415
140,2.75,931.9117415
150,2.75,931.9117415
160,2.75,931.9117415
170,2.75,931.9117415
180,2.75,931.9117415
190,2.75,931.9117415
200,2.75,931.9117415
