,Power
0,53.6022066241054
1,48.6867854716113
2,44.7747988639821
3,41.5540213048277
4,38.8775032157745
5,36.5999176055082
6,34.6350668898514
7,32.9220753261956
8,31.4166641726986
9,30.0774830402328
10,28.8725519704373
11,27.7422553739171
12,26.7006369494402
13,25.7165992371067
14,24.7888743999224
15,23.928153660362
16,180.907447356356
17,164.317900966688
18,151.114946165939
19,140.244821903793
20,131.211573353239
21,123.52472191859
22,116.893350753249
23,111.11200422591
24,106.031241582858
25,101.511505260786
26,97.4448629002259
27,93.6301118869702
28,90.1146497043608
29,86.7935224252353
30,83.6624510997381
31,80.7575186037217
32,428.817652992843
33,389.49428377289
34,358.198390911857
35,332.432170438621
36,311.020025726196
37,292.799340844066
38,277.080535118811
39,263.376602609565
40,251.333313381589
41,240.619864321862
42,230.980415763498
43,221.938042991337
44,213.605095595522
45,205.732793896854
46,198.310995199379
47,191.425229282896
48,570.7562961
49,570.7562961
50,570.7562961
51,570.7562961
52,570.7562961
53,570.7562961
54,541.172920153929
55,514.407426971807
56,490.885377698415
57,469.960672503637
58,451.133624538083
59,433.472740217455
60,417.197452335004
61,401.821863079793
62,387.326162498787
63,373.877400943156
64,570.7562961
65,570.7562961
66,570.7562961
67,570.7562961
68,570.7562961
69,570.7562961
70,570.7562961
71,570.7562961
72,570.7562961
73,570.7562961
74,570.7562961
75,570.7562961
76,570.7562961
77,570.7562961
78,570.7562961
79,570.7562961
80,570.7562961
81,570.7562961
82,570.7562961
83,570.7562961
84,570.7562961
85,570.7562961
86,570.7562961
87,570.7562961
88,570.7562961
89,570.7562961
90,570.7562961
91,570.7562961
92,570.7562961
93,570.7562961
94,570.7562961
95,570.7562961
96,570.7562961
97,570.7562961
98,570.7562961
99,570.7562961
100,570.7562961
101,570.7562961
102,570.7562961
103,570.7562961
104,570.7562961
105,570.7562961
106,570.7562961
107,570.7562961
108,570.7562961
109,570.7562961
110,570.7562961
111,570.7562961
112,570.7562961
113,570.7562961
114,570.7562961
115,570.7562961
116,570.7562961
117,570.7562961
118,570.7562961
119,570.7562961
120,570.7562961
121,570.7562961
122,570.7562961
123,570.7562961
124,570.7562961
125,570.7562961
126,570.7562961
127,570.7562961
128,570.7562961
129,570.7562961
130,570.7562961
131,570.7562961
132,570.7562961
133,570.7562961
134,570.7562961
135,570.7562961
136,570.7562961
137,570.7562961
138,570.7562961
139,570.7562961
140,570.7562961
141,570.7562961
142,570.7562961
143,570.7562961
144,570.7562961
145,570.7562961
146,570.7562961
147,570.7562961
148,570.7562961
149,570.7562961
150,570.7562961
151,570.7562961
152,570.7562961
153,570.7562961
154,570.7562961
155,570.7562961
156,570.7562961
157,570.7562961
158,570.7562961
159,570.7562961
