,Power
0,53.7431898317639
1,48.7481902286445
2,44.7749966492651
3,41.5481559959014
4,38.8590451599185
5,36.5837713794207
6,34.6192709950203
7,32.9054890913956
8,31.3246521978816
9,29.8898769340531
10,28.5514669833958
11,27.3187920767118
12,26.1745798171979
13,25.1007763238745
14,24.1066418797082
15,23.1763955398069
16,147.4713129
17,147.4713129
18,147.4713129
19,140.225026486167
20,131.149277414725
21,123.470228405545
22,116.840039608194
23,111.05602568346
24,105.72070116785
25,100.878334652429
26,96.3612010689608
27,92.2009232589022
28,88.339206883043
29,84.7151200930766
30,81.3599163440153
31,78.2203349468483
32,147.4713129
33,147.4713129
34,147.4713129
35,147.4713129
36,147.4713129
37,147.4713129
38,147.4713129
39,147.4713129
40,147.4713129
41,147.4713129
42,147.4713129
43,147.4713129
44,147.4713129
45,147.4713129
46,147.4713129
47,147.4713129
48,147.4713129
49,147.4713129
50,147.4713129
51,147.4713129
52,147.4713129
53,147.4713129
54,147.4713129
55,147.4713129
56,147.4713129
57,147.4713129
58,147.4713129
59,147.4713129
60,147.4713129
61,147.4713129
62,147.4713129
63,147.4713129
64,147.4713129
65,147.4713129
66,147.4713129
67,147.4713129
68,147.4713129
69,147.4713129
70,147.4713129
71,147.4713129
72,147.4713129
73,147.4713129
74,147.4713129
75,147.4713129
76,147.4713129
77,147.4713129
78,147.4713129
79,147.4713129
80,147.4713129
81,147.4713129
82,147.4713129
83,147.4713129
84,147.4713129
85,147.4713129
86,147.4713129
87,147.4713129
88,147.4713129
89,147.4713129
90,147.4713129
91,147.4713129
92,147.4713129
93,147.4713129
94,147.4713129
95,147.4713129
96,147.4713129
97,147.4713129
98,147.4713129
99,147.4713129
100,147.4713129
101,147.4713129
102,147.4713129
103,147.4713129
104,147.4713129
105,147.4713129
106,147.4713129
107,147.4713129
108,147.4713129
109,147.4713129
110,147.4713129
111,147.4713129
112,147.4713129
113,147.4713129
114,147.4713129
115,147.4713129
116,147.4713129
117,147.4713129
118,147.4713129
119,147.4713129
120,147.4713129
121,147.4713129
122,147.4713129
123,147.4713129
124,147.4713129
125,147.4713129
126,147.4713129
127,147.4713129
128,147.4713129
129,147.4713129
130,147.4713129
131,147.4713129
132,147.4713129
133,147.4713129
134,147.4713129
135,147.4713129
136,147.4713129
137,147.4713129
138,147.4713129
139,147.4713129
140,147.4713129
141,147.4713129
142,147.4713129
143,147.4713129
144,147.4713129
145,147.4713129
146,147.4713129
147,147.4713129
148,147.4713129
149,147.4713129
150,147.4713129
151,147.4713129
152,147.4713129
153,147.4713129
154,147.4713129
155,147.4713129
156,147.4713129
157,147.4713129
158,147.4713129
159,147.4713129
