Depth,Velocity,Power
50,0.5,53.7431898317639
60,0.5,48.7481902286445
70,0.5,44.7749966492651
80,0.5,41.5481559959014
90,0.5,38.8590451599185
100,0.5,36.5837713794207
110,0.5,34.6192709950203
120,0.5,32.9054890913956
130,0.5,31.3246521978816
140,0.5,29.8898769340531
150,0.5,28.5514669833958
160,0.5,27.3187920767118
170,0.5,26.1745798171979
180,0.5,25.1007763238745
190,0.5,24.1066418797082
200,0.5,23.1763955398069
50,0.75,147.4713129
60,0.75,147.4713129
70,0.75,147.4713129
80,0.75,140.225026486167
90,0.75,131.149277414725
100,0.75,123.470228405545
110,0.75,116.840039608194
120,0.75,111.05602568346
130,0.75,105.72070116785
140,0.75,100.878334652429
150,0.75,96.3612010689608
160,0.75,92.2009232589022
170,0.75,88.339206883043
180,0.75,84.7151200930766
190,0.75,81.3599163440153
200,0.75,78.2203349468483
50,1,147.4713129
60,1,147.4713129
70,1,147.4713129
80,1,147.4713129
90,1,147.4713129
100,1,147.4713129
110,1,147.4713129
120,1,147.4713129
130,1,147.4713129
140,1,147.4713129
150,1,147.4713129
160,1,147.4713129
170,1,147.4713129
180,1,147.4713129
190,1,147.4713129
200,1,147.4713129
50,1.25,147.4713129
60,1.25,147.4713129
70,1.25,147.4713129
80,1.25,147.4713129
90,1.25,147.4713129
100,1.25,147.4713129
110,1.25,147.4713129
120,1.25,147.4713129
130,1.25,147.4713129
140,1.25,147.4713129
150,1.25,147.4713129
160,1.25,147.4713129
170,1.25,147.4713129
180,1.25,147.4713129
190,1.25,147.4713129
200,1.25,147.4713129
50,1.5,147.4713129
60,1.5,147.4713129
70,1.5,147.4713129
80,1.5,147.4713129
90,1.5,147.4713129
100,1.5,147.4713129
110,1.5,147.4713129
120,1.5,147.4713129
130,1.5,147.4713129
140,1.5,147.4713129
150,1.5,147.4713129
160,1.5,147.4713129
170,1.5,147.4713129
180,1.5,147.4713129
190,1.5,147.4713129
200,1.5,147.4713129
50,1.75,147.4713129
60,1.75,147.4713129
70,1.75,147.4713129
80,1.75,147.4713129
90,1.75,147.4713129
100,1.75,147.4713129
110,1.75,147.4713129
120,1.75,147.4713129
130,1.75,147.4713129
140,1.75,147.4713129
150,1.75,147.4713129
160,1.75,147.4713129
170,1.75,147.4713129
180,1.75,147.4713129
190,1.75,147.4713129
200,1.75,147.4713129
50,2,147.4713129
60,2,147.4713129
70,2,147.4713129
80,2,147.4713129
90,2,147.4713129
100,2,147.4713129
110,2,147.4713129
120,2,147.4713129
130,2,147.4713129
140,2,147.4713129
150,2,147.4713129
160,2,147.4713129
170,2,147.4713129
180,2,147.4713129
190,2,147.4713129
200,2,147.4713129
50,2.25,147.4713129
60,2.25,147.4713129
70,2.25,147.4713129
80,2.25,147.4713129
90,2.25,147.4713129
100,2.25,147.4713129
110,2.25,147.4713129
120,2.25,147.4713129
130,2.25,147.4713129
140,2.25,147.4713129
150,2.25,147.4713129
160,2.25,147.4713129
170,2.25,147.4713129
180,2.25,147.4713129
190,2.25,147.4713129
200,2.25,147.4713129
50,2.5,147.4713129
60,2.5,147.4713129
70,2.5,147.4713129
80,2.5,147.4713129
90,2.5,147.4713129
100,2.5,147.4713129
110,2.5,147.4713129
120,2.5,147.4713129
130,2.5,147.4713129
140,2.5,147.4713129
150,2.5,147.4713129
160,2.5,147.4713129
170,2.5,147.4713129
180,2.5,147.4713129
190,2.5,147.4713129
200,2.5,147.4713129
50,2.75,147.4713129
60,2.75,147.4713129
70,2.75,147.4713129
80,2.75,147.4713129
90,2.75,147.4713129
100,2.75,147.4713129
110,2.75,147.4713129
120,2.75,147.4713129
130,2.75,147.4713129
140,2.75,147.4713129
150,2.75,147.4713129
160,2.75,147.4713129
170,2.75,147.4713129
180,2.75,147.4713129
190,2.75,147.4713129
200,2.75,147.4713129
