Depth,Velocity,Power
50,0.5,18.6408529598286
60,0.5,16.9862525993445
70,0.5,15.6722025855058
80,0.5,14.5692820294867
90,0.5,13.6044316993363
100,0.5,12.7428503929702
110,0.5,11.9715615013611
120,0.5,11.2784853356658
130,0.5,10.6491949188836
140,0.5,10.0769929531328
150,0.5,9.55541574102937
160,0.5,9.07330952775213
170,0.5,8.63434114176826
180,0.5,8.22733658573758
190,0.5,7.84844613873213
200,0.5,7.49957208775696
50,0.75,62.9128787394215
60,0.75,57.3286025227878
70,0.75,52.8936837260819
80,0.75,49.1713268495177
90,0.75,45.91495698526
100,0.75,43.0071200762745
110,0.75,40.4040200670939
120,0.75,38.0648880078722
130,0.75,35.9410328512322
140,0.75,34.0098512168234
150,0.75,32.2495281259741
160,0.75,30.6224196561634
170,0.75,29.1409013534679
180,0.75,27.7672609768643
190,0.75,26.4885057182209
200,0.75,25.3110557961797
50,1,149.126823678629
60,1,135.890020794756
70,1,125.377620684046
80,1,116.554256235894
90,1,108.83545359469
100,1,101.942803143762
110,1,95.7724920108892
120,1,90.2278826853266
130,1,85.1935593510688
140,1,80.6159436250628
150,1,76.4433259282349
160,1,72.5864762220171
170,1,69.0747291341461
180,1,65.8186926859006
190,1,62.787569109857
200,1,59.9965767020557
50,1.25,291.263327497322
60,1.25,265.410196864758
70,1.25,244.878165398528
80,1.25,227.64503171073
90,1.25,212.56924530213
100,1.25,199.10703739016
110,1.25,187.055648458768
120,1.25,176.226333369779
130,1.25,166.393670607556
140,1.25,157.453014892701
150,1.25,149.303370953584
160,1.25,141.770461371127
170,1.25,134.911580340129
180,1.25,128.55213415215
190,1.25,122.63197091769
200,1.25,117.180813871203
50,1.5,503.303029915372
60,1.5,458.628820182302
70,1.5,423.149469808656
80,1.5,393.370614796141
90,1.5,367.31965588208
100,1.5,344.056960610196
110,1.5,323.232160536751
120,1.5,304.519104062977
130,1.5,287.528262809857
140,1.5,272.078809734587
150,1.5,257.996225007793
160,1.5,244.979357249308
170,1.5,233.127210827743
180,1.5,222.138087814915
190,1.5,211.908045745767
200,1.5,202.488446369438
50,1.75,799.226570652652
60,1.75,728.285580196897
70,1.75,671.94568585356
80,1.75,624.657967014243
90,1.75,583.290009109044
100,1.75,546.349710598599
110,1.75,513.280699370859
120,1.75,483.565058766672
130,1.75,456.584232147134
140,1.75,432.051072865571
150,1.75,409.688449896634
160,1.75,389.018146002373
170,1.75,370.197376453314
180,1.75,352.747056113499
190,1.75,336.50212819814
200,1.75,321.54415326258
50,2,1193.01458942903
60,2,1087.12016635805
70,2,1003.02096547237
80,2,932.43404988715
90,2,870.683628757523
100,2,815.542425150095
110,2,766.179936087113
120,2,721.823061482613
130,2,681.548474808551
140,2,644.927549000502
150,2,611.546607425879
160,2,580.691809776137
170,2,552.597833073169
180,2,526.549541487205
190,2,502.300552878856
200,2,479.972613616445
50,2.25,1698.64772596438
60,2.25,1547.87226811527
70,2.25,1428.12946060421
80,2.25,1327.62582493698
90,2.25,1239.70383860202
100,2.25,1161.19224205941
110,2.25,1090.90854181153
120,2.25,1027.75197621255
130,2.25,970.407886983268
140,2.25,918.265982854231
150,2.25,870.737259401301
160,2.25,826.805330716413
170,2.25,786.804336543633
180,2.25,749.716046375337
190,2.25,715.189654391965
200,2.25,683.398506496853
50,2.5,1814.426064
60,2.5,1814.426064
70,2.5,1814.426064
80,2.5,1814.426064
90,2.5,1700.55396241704
100,2.5,1592.85629912128
110,2.5,1496.44518767014
120,2.5,1409.81066695823
130,2.5,1331.14936486045
140,2.5,1259.62411914161
150,2.5,1194.42696762867
160,2.5,1134.16369096902
170,2.5,1079.29264272103
180,2.5,1028.4170732172
190,2.5,981.055767341516
200,2.5,937.44651096962
50,2.75,1814.426064
60,2.75,1814.426064
70,2.75,1814.426064
80,2.75,1814.426064
90,2.75,1814.426064
100,2.75,1814.426064
110,2.75,1814.426064
120,2.75,1814.426064
130,2.75,1771.75980462926
140,2.75,1676.55970257748
150,2.75,1589.78229391376
160,2.75,1509.57187267976
170,2.75,1436.53850746169
180,2.75,1368.82312445209
190,2.75,1305.78522633156
200,2.75,1247.74130610056
