,Power
0,53.6022066241054
1,48.6867854716113
2,44.7747988639821
3,41.5540213048277
4,38.8775032157745
5,36.5999176055082
6,34.6350668898514
7,32.9220753261956
8,31.4166641726986
9,30.0774830402328
10,28.8725519704373
11,27.7422553739171
12,26.7006369494402
13,25.7165992371067
14,24.7888743999224
15,23.928153660362
16,180.907447356356
17,164.317900966688
18,151.114946165939
19,140.244821903793
20,131.211573353239
21,123.52472191859
22,116.893350753249
23,111.11200422591
24,106.031241582858
25,101.511505260786
26,97.4448629002259
27,93.6301118869702
28,90.1146497043608
29,86.7935224252353
30,83.6624510997381
31,80.7575186037217
32,312.608069
33,312.608069
34,312.608069
35,312.608069
36,311.020025726196
37,292.799340844066
38,277.080535118811
39,263.376602609565
40,251.333313381589
41,240.619864321862
42,230.980415763498
43,221.938042991337
44,213.605095595522
45,205.732793896854
46,198.310995199379
47,191.425229282896
48,312.608069
49,312.608069
50,312.608069
51,312.608069
52,312.608069
53,312.608069
54,312.608069
55,312.608069
56,312.608069
57,312.608069
58,312.608069
59,312.608069
60,312.608069
61,312.608069
62,312.608069
63,312.608069
64,312.608069
65,312.608069
66,312.608069
67,312.608069
68,312.608069
69,312.608069
70,312.608069
71,312.608069
72,312.608069
73,312.608069
74,312.608069
75,312.608069
76,312.608069
77,312.608069
78,312.608069
79,312.608069
80,312.608069
81,312.608069
82,312.608069
83,312.608069
84,312.608069
85,312.608069
86,312.608069
87,312.608069
88,312.608069
89,312.608069
90,312.608069
91,312.608069
92,312.608069
93,312.608069
94,312.608069
95,312.608069
96,312.608069
97,312.608069
98,312.608069
99,312.608069
100,312.608069
101,312.608069
102,312.608069
103,312.608069
104,312.608069
105,312.608069
106,312.608069
107,312.608069
108,312.608069
109,312.608069
110,312.608069
111,312.608069
112,312.608069
113,312.608069
114,312.608069
115,312.608069
116,312.608069
117,312.608069
118,312.608069
119,312.608069
120,312.608069
121,312.608069
122,312.608069
123,312.608069
124,312.608069
125,312.608069
126,312.608069
127,312.608069
128,312.608069
129,312.608069
130,312.608069
131,312.608069
132,312.608069
133,312.608069
134,312.608069
135,312.608069
136,312.608069
137,312.608069
138,312.608069
139,312.608069
140,312.608069
141,312.608069
142,312.608069
143,312.608069
144,312.608069
145,312.608069
146,312.608069
147,312.608069
148,312.608069
149,312.608069
150,312.608069
151,312.608069
152,312.608069
153,312.608069
154,312.608069
155,312.608069
156,312.608069
157,312.608069
158,312.608069
159,312.608069
