Depth,Velocity,Power
50,0.5,51.9325493968441
60,0.5,47.4016157196374
70,0.5,43.7753701487757
80,0.5,40.7667967502504
90,0.5,38.2281717244742
100,0.5,36.0550386209467
110,0.5,34.1753462314191
120,0.5,32.5303796102812
130,0.5,31.0732935584107
140,0.5,29.7720248683206
150,0.5,28.601435726431
160,0.5,27.5473890875738
170,0.5,26.5905226797414
180,0.5,25.7144053061008
190,0.5,24.8937668602931
200,0.5,24.1136649335262
50,0.75,175.272354214349
60,0.75,159.980453053776
70,0.75,147.741874252118
80,0.75,137.587939032095
90,0.75,129.0200795701
100,0.75,121.685755345695
110,0.75,115.341793531039
120,0.75,109.790031184699
130,0.75,104.872365759636
140,0.75,100.480583930582
150,0.75,96.5298455767046
160,0.75,92.9724381705617
170,0.75,89.7430140441274
180,0.75,86.7861179080902
190,0.75,84.0164631534891
200,0.75,81.3836191506509
50,1,415.460395174753
60,1,379.2129257571
70,1,350.202961190206
80,1,326.134374002003
90,1,305.825373795793
100,1,288.440308967573
110,1,273.402769851353
120,1,260.243036882249
130,1,248.586348467285
140,1,238.176198946565
150,1,228.811485811448
160,1,220.379112700591
170,1,212.724181437932
180,1,205.715242448806
190,1,199.150134882345
200,1,192.90931946821
50,1.25,811.44608432569
60,1.25,740.650245619335
70,1.25,683.99015857462
80,1.25,636.981199222662
90,1.25,597.315183194909
100,1.25,563.359978452292
110,1.25,533.989784865923
120,1.25,508.287181410643
130,1.25,485.520211850167
140,1.25,465.18788856751
150,1.25,446.897433225484
160,1.25,430.427954493341
170,1.25,415.47691687096
180,1.25,401.787582907825
190,1.25,388.965107192079
200,1.25,376.776014586347
50,1.5,1402.17883371479
60,1.5,1279.84362443021
70,1.5,1181.93499401694
80,1.5,1100.70351225676
90,1.5,1032.1606365608
100,1.5,973.48604276556
110,1.5,922.734348248315
120,1.5,878.320249477591
130,1.5,838.978926077089
140,1.5,803.844671444657
150,1.5,772.238764613637
160,1.5,743.779505364493
170,1.5,717.944112353019
180,1.5,694.288943264721
190,1.5,672.131705227913
200,1.5,651.068953205207
50,1.75,2041.156922
60,1.75,2032.34427397946
70,1.75,1876.86899512876
80,1.75,1747.87641066699
90,1.75,1639.03286268683
100,1.75,1545.85978087309
110,1.75,1465.26796967209
120,1.75,1394.7400257908
130,1.75,1332.26746131686
140,1.75,1276.47556622925
150,1.75,1226.28655677073
160,1.75,1181.09430712973
170,1.75,1140.06865989391
180,1.75,1102.50512749907
190,1.75,1067.32025413507
200,1.75,1033.87338402494
50,2,2041.156922
60,2,2041.156922
70,2,2041.156922
80,2,2041.156922
90,2,2041.156922
100,2,2041.156922
110,2,2041.156922
120,2,2041.156922
130,2,1988.69078773828
140,2,1905.40959157252
150,2,1830.49188649158
160,2,1763.03290160472
170,2,1701.79345150345
180,2,1645.72193959045
190,2,1593.20107905876
200,2,1543.27455574568
50,2.25,2041.156922
60,2.25,2041.156922
70,2.25,2041.156922
80,2.25,2041.156922
90,2.25,2041.156922
100,2.25,2041.156922
110,2.25,2041.156922
120,2.25,2041.156922
130,2.25,2041.156922
140,2.25,2041.156922
150,2.25,2041.156922
160,2.25,2041.156922
170,2.25,2041.156922
180,2.25,2041.156922
190,2.25,2041.156922
200,2.25,2041.156922
50,2.5,2041.156922
60,2.5,2041.156922
70,2.5,2041.156922
80,2.5,2041.156922
90,2.5,2041.156922
100,2.5,2041.156922
110,2.5,2041.156922
120,2.5,2041.156922
130,2.5,2041.156922
140,2.5,2041.156922
150,2.5,2041.156922
160,2.5,2041.156922
170,2.5,2041.156922
180,2.5,2041.156922
190,2.5,2041.156922
200,2.5,2041.156922
50,2.75,2041.156922
60,2.75,2041.156922
70,2.75,2041.156922
80,2.75,2041.156922
90,2.75,2041.156922
100,2.75,2041.156922
110,2.75,2041.156922
120,2.75,2041.156922
130,2.75,2041.156922
140,2.75,2041.156922
150,2.75,2041.156922
160,2.75,2041.156922
170,2.75,2041.156922
180,2.75,2041.156922
190,2.75,2041.156922
200,2.75,2041.156922
