,Power
0,18.6408529598286
1,16.9862525993445
2,15.6722025855058
3,14.5692820294867
4,13.6044316993363
5,12.7428503929702
6,11.9715615013611
7,11.2784853356658
8,10.6491949188836
9,10.0769929531328
10,9.55541574102937
11,9.07330952775213
12,8.63434114176826
13,8.22733658573758
14,7.84844613873213
15,7.49957208775696
16,62.9128787394215
17,57.3286025227878
18,52.8936837260819
19,49.1713268495177
20,45.91495698526
21,43.0071200762745
22,40.4040200670939
23,38.0648880078722
24,35.9410328512322
25,34.0098512168234
26,32.2495281259741
27,30.6224196561634
28,29.1409013534679
29,27.7672609768643
30,26.4885057182209
31,25.3110557961797
32,149.126823678629
33,135.890020794756
34,125.377620684046
35,116.554256235894
36,108.83545359469
37,101.942803143762
38,95.7724920108892
39,90.2278826853266
40,85.1935593510688
41,80.6159436250628
42,76.4433259282349
43,72.5864762220171
44,69.0747291341461
45,65.8186926859006
46,62.787569109857
47,59.9965767020557
48,291.263327497322
49,265.410196864758
50,244.878165398528
51,227.64503171073
52,212.56924530213
53,199.10703739016
54,187.055648458768
55,176.226333369779
56,166.393670607556
57,157.453014892701
58,149.303370953584
59,141.770461371127
60,134.911580340129
61,128.55213415215
62,122.63197091769
63,117.180813871203
64,503.303029915372
65,458.628820182302
66,423.149469808656
67,393.370614796141
68,367.31965588208
69,344.056960610196
70,323.232160536751
71,304.519104062977
72,287.528262809857
73,272.078809734587
74,257.996225007793
75,244.979357249308
76,233.127210827743
77,222.138087814915
78,211.908045745767
79,202.488446369438
80,799.226570652652
81,728.285580196897
82,671.94568585356
83,624.657967014243
84,583.290009109044
85,546.349710598599
86,513.280699370859
87,483.565058766672
88,456.584232147134
89,432.051072865571
90,409.688449896634
91,389.018146002373
92,370.197376453314
93,352.747056113499
94,336.50212819814
95,321.54415326258
96,1193.01458942903
97,1087.12016635805
98,1003.02096547237
99,932.43404988715
100,870.683628757523
101,815.542425150095
102,766.179936087113
103,721.823061482613
104,681.548474808551
105,644.927549000502
106,611.546607425879
107,580.691809776137
108,552.597833073169
109,526.549541487205
110,502.300552878856
111,479.972613616445
112,1698.64772596438
113,1547.87226811527
114,1428.12946060421
115,1327.62582493698
116,1239.70383860202
117,1161.19224205941
118,1090.90854181153
119,1027.75197621255
120,970.407886983268
121,918.265982854231
122,870.737259401301
123,826.805330716413
124,786.804336543633
125,749.716046375337
126,715.189654391965
127,683.398506496853
128,1814.426064
129,1814.426064
130,1814.426064
131,1814.426064
132,1700.55396241704
133,1592.85629912128
134,1496.44518767014
135,1409.81066695823
136,1331.14936486045
137,1259.62411914161
138,1194.42696762867
139,1134.16369096902
140,1079.29264272103
141,1028.4170732172
142,981.055767341516
143,937.44651096962
144,1814.426064
145,1814.426064
146,1814.426064
147,1814.426064
148,1814.426064
149,1814.426064
150,1814.426064
151,1814.426064
152,1771.75980462926
153,1676.55970257748
154,1589.78229391376
155,1509.57187267976
156,1436.53850746169
157,1368.82312445209
158,1305.78522633156
159,1247.74130610056
