,Power
0,36.2241879652097
1,33.0559617143473
2,30.5127077893939
3,28.4130588721669
4,26.6417560956172
5,25.1374256973841
6,23.8337688991728
7,22.6910408548754
8,21.6805083505831
9,20.779689743408
10,19.9362095863247
11,19.1516472838114
12,18.4233014458836
13,17.7357280891377
14,17.0933504589455
15,16.4924961227566
16,122.256634382583
17,111.563870785922
18,102.980388789204
19,95.8940736935633
20,89.9159268227081
21,84.8388117286714
22,80.4389700347081
23,76.5822628852046
24,73.1717156832178
25,70.131452884002
26,67.284707353846
27,64.6368095828634
28,62.1786423798573
29,59.8580823008399
30,57.6900577989412
31,55.6621744143036
32,289.793503721677
33,264.447693714779
34,244.101662315151
35,227.304470977335
36,213.134048764938
37,201.099405579073
38,190.670151193382
39,181.528326839004
40,173.444066804664
41,166.237517947264
42,159.489676690598
43,153.213178270491
44,147.386411567069
45,141.885824713102
46,136.746803671564
47,131.939968982053
48,566.002936956401
49,516.499401786677
50,476.761059209279
51,443.954044877608
52,416.277438994019
53,392.772276521627
54,372.402639049575
55,354.547513357429
56,338.75794297786
57,324.68265224075
58,311.503274786324
59,299.244488809553
60,287.864085091932
61,277.120751392777
62,267.083600921024
63,257.695251918072
64,978.053075060661
65,892.510966287378
66,823.843110313634
67,767.152589548506
68,719.327414581665
69,678.710493829371
70,643.511760277665
71,612.658103081637
72,585.373725465743
73,561.051623072016
74,538.277658830768
75,517.094476662907
76,497.429139038858
77,478.864658406719
78,461.520462391529
79,445.297395314429
80,1553.11205900836
81,1417.27435850264
82,1308.23234647026
83,1218.20989914416
84,1142.26529259959
85,1077.76712677534
86,1021.87284155203
87,972.878376652785
88,929.551795531249
89,890.929197748618
90,854.764986013673
91,821.126877293413
92,789.899049492261
93,760.41934182178
94,732.87740092729
95,707.115771263191
96,1987.693642
97,1987.693642
98,1952.81329852121
99,1818.43576781868
100,1705.0723901195
101,1608.79524463258
102,1525.36120954706
103,1452.22661471203
104,1387.55253443732
105,1329.90014357811
106,1275.91741352478
107,1225.70542616393
108,1179.09129253655
109,1135.08659770482
110,1093.97442937251
111,1055.51975185642
112,1987.693642
113,1987.693642
114,1987.693642
115,1987.693642
116,1987.693642
117,1987.693642
118,1987.693642
119,1987.693642
120,1975.63632344688
121,1893.54922786805
122,1816.68709855384
123,1745.19385873731
124,1678.82334425615
125,1616.16822212268
126,1557.63156057141
127,1502.8787091862
128,1987.693642
129,1987.693642
130,1987.693642
131,1987.693642
132,1987.693642
133,1987.693642
134,1987.693642
135,1987.693642
136,1987.693642
137,1987.693642
138,1987.693642
139,1987.693642
140,1987.693642
141,1987.693642
142,1987.693642
143,1987.693642
144,1987.693642
145,1987.693642
146,1987.693642
147,1987.693642
148,1987.693642
149,1987.693642
150,1987.693642
151,1987.693642
152,1987.693642
153,1987.693642
154,1987.693642
155,1987.693642
156,1987.693642
157,1987.693642
158,1987.693642
159,1987.693642
